,Term,Count
963,von Willebrand Factor,6644
964,Hormone Replacement Therapy,249415
965,Penile Diseases,90
966,Interleukin-8,43261
967,"Receptors, Progesterone",1186
968,Shoulder Joint,124117
969,Pregnancy Outcome,62447
970,Health Status,1125646
971,Confounding Factors (Epidemiology),22
972,Nigeria,23019855
973,Contusions,92731
974,Heart Failure,3100305
975,Snake Bites,69055
976,Anticonvulsants,101838
977,Intracranial Aneurysm,18844
978,Neuroendoscopes,321
979,Carbon Dioxide,6083351
980,Dietary Supplements,764840
981,Hyperlipidemias,2906
982,Libido,692529
983,Laryngeal Masks,953
984,Fistula,642257
985,Neuromuscular Agents,244
986,Government Agencies,3995718
987,gamma-Glutamyltransferase,8152
988,"Radiography, Interventional",66
989,Social Security,10938980
990,Continuity of Patient Care,4090
991,Lower Urinary Tract Symptoms,44624
992,Neural Inhibition,2175
993,Epirubicin,42081
994,Tobacco Industry,513424
995,"Osteoarthritis, Hip",717
996,Second-Look Surgery,1367
997,Drug Packaging,10434
998,Peptidyl-Dipeptidase A,176
999,Patient Care Management,5335
1000,Triglycerides,657994
1001,Bone Screws,14939
1002,Commerce,22762753
1003,Medical Oncology,324976
1004,Ultrasonography,416622
1005,Growth Hormone,673901
1006,Travel,156689046
1007,Hemostatics,1316
1008,Periodicity,433091
1009,Interviews as Topic,689
1010,Evaluation Studies as Topic,279
1011,Thrombocytopenia,544170
1012,Psychotic Disorders,111529
1013,Alberta,10379436
1014,Oxygen Inhalation Therapy,263
1015,Luteal Phase,66653
1016,Aortic Valve,373021
1017,Liver Diseases,228733
1018,Hypotension,727182
1019,beta-Endorphin,14572
1020,Arm,74860060
1021,Nuchal Translucency Measurement,1167
1022,Critical Care,1731287
1023,Sex Factors,3125
1024,Education of Intellectually Disabled,781
1025,Spinal Cord Compression,36038
1026,Ischemia,1099930
1027,Early Detection of Cancer,26683
1028,"Receptor, ErbB-2",151
1029,Prenatal Care,316804
1030,"Pancreatitis, Chronic",1212
1031,Carotid Stenosis,30771
1032,Adolescent,5672827
1033,Hypoglycemia,579103
1034,Drug Delivery Systems,128216
1035,Wounds and Injuries,11339
1036,Enzyme-Linked Immunosorbent Assay,148960
1037,Sputum,418102
1038,"Infant, Very Low Birth Weight",147
1039,Diabetes Mellitus,1450538
1040,"Depressive Disorder, Major",890
1041,Psychometrics,101419
1042,Pancreatic Fistula,7711
1043,Vitamin D,1100976
1044,Insurance Benefits,345272
1045,Emergency Treatment,175732
1046,"Endarterectomy, Carotid",418
1047,Deglutition Disorders,417
1048,False Positive Reactions,2701
1049,"Aortic Aneurysm, Abdominal",237
1050,"DNA, Viral",703
1051,Resuscitation,1034803
1052,Scapula,203164
1053,Apoptosis,3010781
1054,Ophthalmoscopy,29254
1055,Urban Health Services,900
1056,Multivariate Analysis,342641
1057,Nasal Cavity,168724
1058,"Personnel Administration, Hospital",12
1059,"Ligaments, Articular",161
1060,Arterial Occlusive Diseases,706
1061,Drug Interactions,453122
1062,Emergency Nursing,31312
1063,Constriction,357745
1064,Disease-Free Survival,115453
1065,Crotalus,23214
1066,Sports,105924819
1067,"Microscopy, Electron",5884
1068,"Chemoembolization, Therapeutic",22
1069,Workload,3055232
1070,Geographic Information Systems,214813
1071,"Genes, abl",7
1072,Viral Load,542904
1073,Abdominal Injuries,17209
1074,Galvanic Skin Response,17554
1075,Remote Consultation,14592
1076,Socioeconomic Factors,120924
1077,Hypertension,4802934
1078,Muscle Contraction,174370
1079,Hydrocortisone,163989
1080,"Goiter, Nodular",90
1081,Cost of Illness,10653
1082,Disease Progression,777441
1083,Respiration,1341884
1084,Esophagus,830874
1085,Health Manpower,9617
1086,Israel,80579062
1087,British Columbia,7579014
1088,Placebos,154818
1089,Pulmonary Ventilation,8218
1090,Midazolam,251209
1091,"Kidney Failure, Chronic",1318
1092,Maze Learning,2937
1093,Prosthesis Failure,1010
1094,Neuronal Plasticity,25673
1095,"Antigens, Plant",16
1096,Serum Albumin,257741
1097,"Adaptation, Psychological",689
1098,Communicable Diseases,381783
1099,Cochlea,222804
1100,Syringes,594123
1101,Magnetic Resonance Angiography,26521
1102,Ambulatory Surgical Procedures,720
1103,Thyroxine,146221
1104,Medicine,73995764
1105,Psychomotor Agitation,10127
1106,First Aid,2437949
1107,Lactic Acid,576158
1108,World Health Organization,4265748
1109,Friction,4899058
1110,Anterior Chamber,101847
1111,"Neovascularization, Physiologic",154
1112,Orthodontic Appliance Design,47
1113,Sheep,11620051
1114,Allied Health Personnel,4723
1115,Health Education,1375785
1116,"Analgesia, Obstetrical",79
1117,Stomach Neoplasms,765
1118,Taxes,33095560
1119,"Tomography, Emission-Computed",346
1120,Cancer Care Facilities,1698
1121,Nurse Practitioners,448050
1122,"Adenocarcinoma, Mucinous",493
1123,Surgical Instruments,161108
1124,Fluoroimmunoassay,1711
1125,"Imaging, Three-Dimensional",692
1126,Interleukin-6,174421
1127,Cecal Neoplasms,14
1128,Neck Pain,473657
1129,"Ultrasonography, Doppler, Transcranial",96
1130,Telemedicine,1385536
1131,Hemodynamics,149961
1132,Hypoalbuminemia,35699
1133,Patient Access to Records,2853
1134,Anterior Cruciate Ligament Injuries,7626
1135,Dietary Carbohydrates,10046
1136,Catheter-Related Infections,6936
1137,HIV,22996409
1138,"Ultrasonography, Doppler, Pulsed",3
1139,Twins,8800515
1140,Anorexia,938417
1141,Logistic Models,15659
1142,Esophagitis,145181
1143,Radiography,498074
1144,Odontometry,275
1145,Japan,64240183
1146,Office Visits,148777
1147,San Francisco,34853928
1148,"Infant, Premature",769
1149,Sweden,17764705
1150,Geriatric Nursing,15640
1151,Ligation,432258
1152,Kenya,14082975
1153,Counseling,10802609
1154,Nose,15879392
1155,Sleep Initiation and Maintenance Disorders,883
1156,Humerus,270291
1157,Venous Thrombosis,163942
1158,"Pregnancy, Unplanned",995
1159,Diabetes Complications,52301
1160,Spinal Cord Injuries,243320
1161,Awareness,36602740
1162,ST Elevation Myocardial Infarction,2021
1163,"Sterilization, Tubal",201
1164,"Injections, Intra-Articular",87
1165,Age of Onset,143145
1166,Urological Agents,42
1167,In Situ Nick-End Labeling,138
1168,Specialization,2717981
1169,Protective Devices,59196
1170,Occupations,3623882
1171,Thoracic Wall,10992
1172,Thoracic Injuries,3936
1173,"Chromatography, Affinity",902
1174,Quality of Life,8619902
1175,Pulmonary Valve Insufficiency,351
1176,Pulmonary Surfactants,836
1177,Diastole,56445
1178,Craniotomy,89174
1179,Cognition Disorders,1849
1180,Neurotoxins,110552
1181,"Lasers, Semiconductor",578
1182,Physical Endurance,55634
1183,Patient Satisfaction,386971
1184,"Monitoring, Intraoperative",128
1185,Physician's Role,5141
1186,"Hematoma, Epidural, Spinal",7
1187,Truth Disclosure,418
1188,Lipase,308726
1189,Tobacco Products,1069732
1190,Paclitaxel,438817
1191,Hazardous Substances,454194
1192,Kidney Neoplasms,754
1193,"Audiometry, Pure-Tone",43
1194,Glycated Hemoglobin A,502
1195,Weight-Bearing,131561
1196,Public Health Practice,95566
1197,Neck Dissection,40097
1198,Staphylococcus epidermidis,49162
1199,Endothelin-1,50929
1200,"Analgesics, Opioid",587
1201,"Ossification, Heterotopic",34
1202,Victoria,23885043
1203,Sickness Impact Profile,3236
1204,Carcinoma,3934260
1205,Bupivacaine,151044
1206,"Tomography, Emission-Computed, Single-Photon",194
1207,Delivery of Health Care,75587
1208,Intestines,992091
1209,Aspartate Aminotransferases,1388
1210,Mammaplasty,6964
1211,Up-Regulation,243232
1212,Mitral Valve,296508
1213,Nonprescription Drugs,17562
1214,"Liver Diseases, Alcoholic",114
1215,"Obesity, Morbid",538
1216,"Tuberculosis, Meningeal",44
1217,Health Services for the Aged,182
1218,Proliferating Cell Nuclear Antigen,18647
1219,Colonic Neoplasms,2157
1220,Uterine Cervical Neoplasms,618
1221,Hypertrophy,600094
1222,"Receptors, Somatostatin",121
1223,Papillomavirus Infections,5813
1224,Suicide,23840493
1225,Computational Biology,360498
1226,Depressive Disorder,551884
1227,National Health Programs,4827
1228,Androsterone,10177
1229,Fear,80867133
1230,Safety Management,465438
1231,Margins of Excision,491
1232,Immunoglobulins,159395
1233,Racquet Sports,37843
1234,"Medical Records Systems, Computerized",201
1235,Brachytherapy,220554
1236,Markov Chains,21573
1237,Anti-Asthmatic Agents,334
1238,"Catheters, Indwelling",138
1239,"Ischemic Attack, Transient",367
1240,Cardiopulmonary Resuscitation,152196
1241,C-Peptide,9329
1242,"Anatomy, Cross-Sectional",36
1243,"RNA, Neoplasm",67
1244,Affect,75144111
1245,Regional Medical Programs,730
1246,Morphine,1289459
1247,Miniaturization,195464
1248,"Hospitals, Group Practice",21
1249,Reimbursement Mechanisms,3463
1250,"Receptors, GABA-A",130
1251,Rectal Neoplasms,537
1252,Cognition,3552244
1253,Anterior Cruciate Ligament,208706
1254,Sarcoma,888549
1255,Organometallic Compounds,20381
1256,Mitoxantrone,50556
1257,Infant,10691522
1258,Rats,8706649
1259,Nomograms,23032
1260,Thailand,14397804
1261,Narcotics,2205788
1262,"Hernia, Diaphragmatic",104
1263,Pregnant Women,3492784
1264,Phenanthrenes,1791
1265,Chorionic Villi Sampling,1183
1266,Waiting Lists,399872
1267,Epilepsy,3436125
1268,Stroke Volume,65416
1269,"Sphincterotomy, Endoscopic",33
1270,Atrial Fibrillation,955355
1271,Electrocardiography,76814
1272,Prone Position,109550
1273,Bezafibrate,9895
1274,Epidemiologic Methods,9673
1275,"Biopsy, Needle",358
1276,"Carcinoma, Intraductal, Noninfiltrating",63
1277,Blood Pressure,7251741
1278,Coronary Artery Bypass,226857
1279,Medicaid,9219677
1280,Tolonium Chloride,225
1281,Follicular Phase,30421
1282,Income,78469433
1283,Cholecystectomy,175646
1284,"Coated Materials, Biocompatible",35
1285,Andropause,27924
1286,United Kingdom,23800917
1287,Tibial Fractures,9747
1288,Venous Pressure,61891
1289,Iodized Oil,2765
1290,Statistics as Topic,511
1291,"Arrhythmias, Cardiac",2970
1292,"Death, Sudden, Cardiac",347
1293,Respiratory Tract Fistula,29
1294,Neoplasm Proteins,745
1295,Nurses' Aides,2192
1296,Social Behavior,427958
1297,"Education, Medical, Continuing",79
1298,Europe,115138765
1299,Diffusion Magnetic Resonance Imaging,2917
1300,"Sexual Dysfunctions, Psychological",68
1301,Magnetic Resonance Imaging,1110005
1302,Otolithic Membrane,1068
1303,Oncology Nursing,52441
1304,Kidney Transplantation,137401
1305,Lymphedema,273737
1306,Pulsatile Flow,11909
1307,Random Allocation,22553
1308,Computer Systems,1506719
1309,Hispanic Americans,108276
1310,Thinness,205647
1311,"Surgical Procedures, Operative",1370
1312,Radiopharmaceuticals,94876
1313,Androgens,220872
1314,Cerebrospinal Fluid,471774
1315,"Neoplasms, Multiple Primary",67
1316,Orthopedic Procedures,16134
1317,Veterans,25578329
1318,Fetal Diseases,806
1319,Health Promotion,1240188
1320,Microsatellite Repeats,2512
1321,Urban Population,337582
1322,African Continental Ancestry Group,389
1323,Wound Healing,657446
1324,Heart,160725585
1325,Chromones,2023
1326,Endometrium,243711
1327,DNA Helicases,399
1328,"History, Ancient",30333
1329,Solutions,81600927
1330,Mandelic Acids,602
1331,Pediatric Obesity,23864
1332,Sulfones,9667
1333,Patient Safety,1562367
1334,Self Disclosure,6212
1335,Stroke,14950552
1336,Child Mortality,282269
1337,Cytokines,1908033
1338,Patient Discharge Summaries,572
1339,Superoxides,6666
1340,Fasting,3404708
1341,Sterilization Reversal,1002
1342,Dopamine,2088933
1343,Intestinal Absorption,43375
1344,Tetralogy of Fallot,23269
1345,Diet Records,3716
1346,"Anesthesia, Obstetrical",132
1347,Intercellular Adhesion Molecule-1,18536
1348,"Emergency Service, Hospital",768
1349,"Dental Implantation, Endosseous",32
1350,"Leukemia, Myeloid",2081
1351,"Diabetes Mellitus, Type 1",1670
1352,Pamphlets,1417276
1353,Drug-Eluting Stents,45616
1354,Child Behavior,60964
1355,Cyanoacrylates,6214
1356,Amides,98611
1357,Neurons,6656538
1358,Leadership,80718965
1359,"Delivery, Obstetric",654
1360,Cooperative Behavior,31372
1361,Catheters,510256
1362,"Pain, Postoperative",1551
1363,Cell Proliferation,920702
1364,Spouses,3705849
1365,Pre-Eclampsia,166717
1366,Cervix Uteri,8333
1367,Diabetic Retinopathy,363723
1368,Nutritional Sciences,104398
1369,Neurologic Examination,22877
1370,"Ultrasonography, Doppler, Duplex",17
1371,Aged,22929555
1372,Heart Rate,2935032
1373,Angina Pectoris,98190
1374,Employment,49693965
1375,Clinical Competence,31202
1376,Ilium,77764
1377,Endometrial Neoplasms,714
1378,Statistical Distributions,23909
1379,Tooth Crown,9064
1380,Capillaries,456864
1381,Endometriosis,953527
1382,Suture Techniques,2635
1383,Bone Wires,238
1384,"Injections, Intramuscular",215
1385,Hemorrhage,1433925
1386,Iceland,9272920
1387,Melanoma,2366174
1388,"Financing, Personal",610
1389,Homes for the Aged,17773
1390,Cervical Vertebrae,60817
1391,"Nose Deformities, Acquired",11
1392,Software,104608299
1393,"Hematoma, Subdural",553
1394,Autoantibodies,349578
1395,Double-Blind Method,3881
1396,Cyclooxygenase 2 Inhibitors,838
1397,Recurrence,2860877
1398,"Endoscopy, Gastrointestinal",375
1399,Karnofsky Performance Status,3963
1400,Non-alcoholic Fatty Liver Disease,90339
1401,Membrane Proteins,246208
1402,Suture Anchors,7043
1403,Parent-Child Relations,19788
1404,Cardiac Surgical Procedures,4361
1405,"Genes, erbB-1",5
1406,Overweight,3368042
1407,Learning,122884777
1408,Coloring Agents,21473
1409,HIV-2,61932
1410,Antibiotic Prophylaxis,61615
1411,Bronchi,361974
1412,Chlorides,121400
1413,Disabled Persons,289070
1414,Myocardial Infarction,1362480
1415,Proto-Oncogene Proteins c-kit,72
1416,Colonic Diseases,1273
1417,Motor Activity,81823
1418,"Anastomosis, Surgical",90
1419,Peripheral Nerve Injuries,8188
1420,Temporomandibular Joint Disc,1256
1421,Transforming Growth Factor beta1,2791
1422,Longitudinal Ligaments,1762
1423,Embolism,617521
1424,Michigan,37365711
1425,"Polymorphism, Single Nucleotide",2547
1426,Alcoholism,2016313
1427,"Immunity, Innate",1646
1428,Cardiology,2457290
1429,Videotape Recording,4449
1430,Social Work,4770730
1431,Hodgkin Disease,1530
1432,Knee Injuries,159210
1433,"Angioplasty, Balloon, Coronary",215
1434,Cataract,1883552
1435,Blast Injuries,16919
1436,Plasminogen Activator Inhibitor 1,4208
1437,"Radiotherapy Planning, Computer-Assisted",57
1438,Motivation,12858175
1439,"Diagnostic Tests, Routine",201
1440,Myometrium,48634
1441,Testicular Hydrocele,275
1442,"Hospitals, Voluntary",599
1443,"Radiotherapy, Image-Guided",135
1444,"Food, Fortified",614
1445,Dissociative Disorders,40925
1446,"Thrombocytopenia, Neonatal Alloimmune",45
1447,Telephone,19722520
1448,Albuminuria,95278
1449,Spinal Cord,2979171
1450,Blood Flow Velocity,20962
1451,Family Practice,401665
1452,"Chemotherapy, Adjuvant",649
1453,Myocardial Revascularization,12742
1454,Maternal Age,149045
1455,"Antibodies, Antiphospholipid",176
1456,Policy Making,655560
1457,Testosterone,3339245
1458,"Electrophysiologic Techniques, Cardiac",18
1459,HIV-1,1188885
1460,Health Services Research,333765
1461,"Receptors, Adrenergic, beta",114
1462,Blood Glucose Self-Monitoring,1314
1463,Myoclonus,90256
1464,"Physicians, Women",749
1465,Middle Aged,505069
1466,Risk Management,5383090
1467,Vesicular Transport Proteins,422
1468,Enoxaparin,67516
1469,Pupil,4305798
1470,Vaccination,12889074
1471,Vascular Surgical Procedures,1203
1472,Feeding Behavior,70835
1473,Air Ambulances,40227
1474,Pain,93579366
1475,Esophageal and Gastric Varices,685
1476,Immunoglobulin G,16280
1477,Anthropometry,67315
1478,"DNA, Plant",164
1479,Hippocampus,1140006
1480,"Administration, Cutaneous",74
1481,Brain Concussion,6092
1482,Bone Marrow Transplantation,154612
1483,Professional-Patient Relations,454
1484,Dyslipidemias,11310
1485,Cattle,11166451
1486,Maxillary Diseases,33
1487,Brain,68931681
1488,Biomarkers,2469591
1489,Paresthesia,83906
1490,Neonatal Screening,19379
1491,Placenta,1045037
1492,"Hepatitis, Chronic",2144
1493,Alcohol-Related Disorders,4379
1494,Curriculum,18466820
1495,Risk Factors,5756007
1496,Cell Division,554171
1497,"Angioplasty, Balloon",410
1498,Zeolites,128849
1499,Vesico-Ureteral Reflux,985
1500,Ghana,10328291
1501,Africa South of the Sahara,7130
1502,Confidentiality,4870442
1503,"Education, Special",38562
1504,"Hospitals, Public",19409
1505,Osteomyelitis,202375
1506,Recommended Dietary Allowances,13140
1507,Clinical Clerkship,6252
1508,K562 Cells,772
1509,Sorbitol,165575
1510,Bilirubin,442437
1511,"Neoplasms, Unknown Primary",152
1512,Inflammatory Bowel Diseases,84453
1513,Animal Assisted Therapy,11840
1514,Running,109677998
1515,Imatinib Mesylate,45031
1516,Bed Occupancy,35699
1517,Cell Phone,6080784
1518,DNA Mutational Analysis,723
1519,Albumins,28325
1520,Breast Implants,293852
1521,Acclimatization,136499
1522,Torque,5476636
1523,Oxidative Stress,1607802
1524,Sotalol,31767
1525,Pituitary Gland,278974
1526,Personnel Staffing and Scheduling,88
1527,Bone and Bones,1155
1528,Government Regulation,502475
1529,Pericardium,105667
1530,Organoplatinum Compounds,126
1531,Records as Topic,14
1532,Immunoglobulin E,7301
1533,Diagnosis-Related Groups,6589
1534,Apgar Score,5937
1535,Patient Selection,103927
1536,Transforming Growth Factor beta,34948
1537,Androgen Antagonists,424
1538,Refusal to Participate,41933
1539,"Neoplasm Recurrence, Local",678
1540,Neutrophils,733580
1541,Quality of Health Care,96011
1542,Immunoassay,263386
1543,African Americans,4218838
1544,Posture,4216150
1545,Biofilms,492539
1546,Neoplasm Staging,945
1547,Transfer (Psychology),13
1548,Cerebral Hemorrhage,71405
1549,Uterine Neoplasms,999
1550,"Lupus Erythematosus, Systemic",2096
1551,"Infant, Extremely Low Birth Weight",46
1552,Tissue Expansion,12822
1553,Radionuclide Imaging,7481
1554,Nephrectomy,144380
1555,Calibration,3759612
1556,Time and Motion Studies,5239
1557,Benzamides,3589
1558,DNA Transposable Elements,224
1559,Pubic Symphysis,20241
1560,Patients,145010375
1561,Vitiligo,293055
1562,Temporomandibular Joint Disorders,6848
1563,Catholicism,2623552
1564,Isoflurane,148015
1565,Texas,81545832
1566,"Hypersensitivity, Immediate",134
1567,"Dose-Response Relationship, Drug",2291
1568,Chordae Tendineae,7574
1569,Orthodontic Wires,2552
1570,Linguistics,3834004
1571,Tumor Necrosis Factor-alpha,59508
1572,Respiratory Tract Infections,180536
1573,Substance Withdrawal Syndrome,217
1574,Patient Acceptance of Health Care,699
1575,"Heart Defects, Congenital",497
1576,Referral and Consultation,2479
1577,Guideline Adherence,10692
1578,"Respiratory Distress Syndrome, Adult",363
1579,Medical Errors,211220
1580,"Carcinoma, Renal Cell",1404
1581,Phlebitis,44664
1582,"Tuberculosis, Pulmonary",1034
1583,Certification,19108493
1584,Ascomycota,26986
1585,"Hair Cells, Auditory, Outer",16
1586,"Education, Distance",5703
1587,"Antibodies, Bacterial",444
1588,Aortic Valve Stenosis,16335
1589,Tinnitus,1122388
1590,Vinblastine,54863
1591,Adult,87887487
1592,Urology,1225335
1593,Quality-Adjusted Life Years,19190
1594,Female,63500287
1595,"Biopsy, Fine-Needle",263
1596,Lymph Nodes,1073371
1597,Caregivers,4657577
1598,Cohort Studies,301949
1599,Family,367831021
1600,Quebec,9259621
1601,"Colitis, Ulcerative",1905
1602,Digoxin,243650
1603,Obsessive-Compulsive Disorder,236054
1604,Macrophages,1868632
1605,Subtraction Technique,3398
1606,"Administration, Intravenous",746
1607,Illinois,29534254
1608,Body Dysmorphic Disorders,917
1609,Child Health Services,37682
1610,Hip Prosthesis,10524
1611,"Wounds, Penetrating",102
1612,Prostatic Neoplasms,1974
1613,Maternal Mortality,567519
1614,"Epilepsy, Temporal Lobe",225
1615,Consciousness Disorders,1416
1616,Cell Death,1475803
1617,Patient Compliance,75618
1618,"Models, Animal",8378
1619,Estradiol,519734
1620,"Ultrasonography, Doppler",339
1621,"Outpatient Clinics, Hospital",379
1622,Regression Analysis,786771
1623,Drainage,5187565
1624,Gastroesophageal Reflux,180584
1625,Terminal Care,10619
1626,Bronchial Hyperreactivity,4970
1627,alpha-Crystallin B Chain,9
1628,Perfusion,918802
1629,Cisplatin,701370
1630,Prostate-Specific Antigen,90307
1631,Ossification of Posterior Longitudinal Ligament,541
1632,Cholangitis,132472
1633,Atherosclerosis,1140927
1634,Protein Biosynthesis,18087
1635,Multiple Trauma,15646
1636,Image Enhancement,54612
1637,"Hospitals, Veterans",1219
1638,Lipids,1421762
1639,Urinary Incontinence,308474
1640,"Anesthesia, General",1097
1641,Oxygen Consumption,191671
1642,Alcohol Drinking,55018
1643,"Health Knowledge, Attitudes, Practice",1083
1644,Disability Evaluation,16182
1645,Hydrogen-Ion Concentration,2375
1646,Cardiac Output,215499
1647,Esophageal Neoplasms,1074
1648,Weight Gain,1709729
1649,Intelligence Tests,56912
1650,Infertility,2097515
1651,Hormone Antagonists,3474
1652,Crohn Disease,6886
1653,Treatment Failure,149087
1654,Intensive Care Units,358172
1655,Portugal,11854275
1656,Organ Sparing Treatments,33
1657,Adenomatous Polyposis Coli,14239
1658,Public Health,28699418
1659,"Catheterization, Central Venous",225
1660,Bandages,675653
1661,Esophagoscopy,7111
1662,"Decompression, Surgical",150
1663,Length of Stay,546955
1664,Survivors,13009924
1665,Military Dentistry,283
1666,Spondylolysis,17263
1667,Proportional Hazards Models,29290
1668,Prednisolone,273726
1669,Celiac Disease,648355
1670,"Students, Medical",12853
1671,Canada,108027853
1672,Penile Neoplasms,191
1673,Intestinal Perforation,15380
1674,"Antineoplastic Agents, Phytogenic",155
1675,Doxorubicin,435783
1676,Ovarian Neoplasms,7057
1677,Vulnerable Populations,735952
1678,Enteritis,102070
1679,Violence,73492694
1680,Follow-Up Studies,91609
1681,"Nursing Staff, Hospital",276
1682,Acetaminophen,647881
1683,Behavior Therapy,243996
1684,"Infant, Newborn, Diseases",171
1685,Leiomyoma,59288
1686,"Hypoxia-Inducible Factor 1, alpha Subunit",521
1687,"Education, Public Health Professional",18
1688,Polyglactin 910,1699
1689,Donor Selection,9622
1690,Classification,15843321
1691,Polyethylene,1338850
1692,Osteochondritis Dissecans,14957
1693,"Diagnostic Techniques, Ophthalmological",34
1694,Estrogen Replacement Therapy,17681
1695,Disaster Planning,63328
1696,Sufentanil,37117
1697,Treatment Refusal,2882
1698,"Analgesics, Non-Narcotic",270
1699,"Anemia, Hemolytic",2108
1700,Cardiovascular Diseases,567657
1701,Energy Intake,223511
1702,Laser Therapy,197151
1703,Physical Fitness,787877
1704,"Surgery Department, Hospital",409
1705,Asthma,6382646
1706,Endoscopy,835561
1707,Cardiovascular Surgical Procedures,3562
1708,Chemoprevention,110880
1709,CA-125 Antigen,47
1710,"Anesthesia, Local",652
1711,Abbreviated Injury Scale,6249
1712,Dietetics,428641
1713,Homocysteine,345240
1714,Educational Measurement,21670
1715,Contraindications,420466
1716,Toluene,387635
1717,Vision Tests,14702
1718,"Hospitals, University",4569
1719,Leukemia,3661050
1720,Endolymphatic Hydrops,6916
1721,New South Wales,4495376
1722,Sleep Apnea Syndromes,2184
1723,Patient Transfer,22877
1724,School Admission Criteria,411
1725,Hepatorenal Syndrome,19281
1726,Molecular Sequence Data,10849
1727,Health Services,7669554
1728,DMF Index,206
1729,"Infusions, Intravenous",467
1730,Antihypertensive Agents,47464
1731,Ligands,1145217
1732,Survival,26531428
1733,"Wounds, Nonpenetrating",34
1734,Lidocaine,330866
1735,Collagen,3132851
1736,Retroperitoneal Space,6026
1737,Crime,71815913
1738,Alleles,1153393
1739,"Fetal Membranes, Premature Rupture",51
1740,Discriminant Analysis,100855
1741,Ambulances,1080745
1742,"Mammary Glands, Human",30
1743,Antineoplastic Agents,23067
1744,Multidetector Computed Tomography,11710
1745,Gastric Mucosa,63689
1746,Sirolimus,124541
1747,Bisexuality,282386
1748,Warfarin,655079
1749,Sclerosis,3222602
1750,Glioma,581693
1751,Paralysis,2111584
1752,Internet,106775427
1753,Laparoscopy,251217
1754,T-Lymphocytes,12857
1755,Fibrinolytic Agents,2924
1756,Menopause,1833993
1757,"Infertility, Female",826
1758,Liver,16527123
1759,Phagocytes,108681
1760,Ureteroscopy,20621
1761,"Wounds, Gunshot",484
1762,"Drug Resistance, Viral",201
1763,Macular Degeneration,653444
1764,Gastroenterology,1312473
1765,Defecation,304660
1766,Young Adult,7836035
1767,Sleep,60796954
1768,Poisoning,4407206
1769,Dental Models,3804
1770,alpha-Fetoproteins,165
1771,Bone Neoplasms,1429
1772,Pressure,71058756
1773,Distance Perception,4794
1774,Coronary Angiography,132436
1775,Trachea,367624
1776,"Blood Loss, Surgical",270
1777,Medical Records,1966316
1778,Androstenols,42
1779,Male,51782634
1780,General Surgery,475951
1781,Dura Mater,50903
1782,Neoplasm Invasiveness,349
1783,Anastomotic Leak,21307
1784,Gallbladder Neoplasms,192
1785,Postmenopause,19002
1786,Survival Analysis,138837
1787,Sports Equipment,267348
1788,Cell Line,1293305
1789,Papanicolaou Test,626
1790,Tissue Donors,16752
1791,Estrogens,307076
1792,Fracture Fixation,16746
1793,Equipment Design,56087
1794,Synapses,800075
1795,Wales,26352900
1796,Weight Reduction Programs,1613
1797,Terminology as Topic,202
1798,Glial Fibrillary Acidic Protein,29908
1799,Alprostadil,29896
1800,Uterine Contraction,9702
1801,Retirement,25896687
1802,Respiratory Tract Diseases,5740
1803,Treatment Outcome,141314
1804,Residence Characteristics,791
1805,Australian Capital Territory,240509
1806,Queensland,8828668
1807,Optometry,677572
1808,"Pregnancy Trimester, Third",140
1809,Memory Disorders,37898
1810,Family Conflict,80262
1811,Animals,57283664
1812,"Pregnancy Trimester, First",141
1813,"Epilepsies, Partial",39
1814,"Antibodies, Viral",1374
1815,Crown-Rump Length,5854
1816,Anal Canal,40593
1817,Vitamin D Deficiency,22621
1818,Assisted Living Facilities,244024
1819,Anti-Bacterial Agents,7037
1820,Latex Hypersensitivity,490
1821,Italy,42131502
1822,Anxiety,21660516
1823,Nortropanes,34
1824,Ambulatory Care,203444
1825,Pancreatic Diseases,12096
1826,Hypoglycemic Agents,26307
1827,Hospital Records,107723
1828,Vertebral Artery,65457
1829,"Muscle, Skeletal",2754
1830,"Pulmonary Disease, Chronic Obstructive",883
1831,Reoperation,80235
1832,Automobile Driving,8136
1833,Sex Distribution,26947
1834,Hospitals,25895073
1835,Self Report,28814
1836,"Decision Support Systems, Clinical",143
1837,DNA Fragmentation,3208
1838,Water,303138098
1839,Vagina,1595241
1840,Enema,199423
1841,Advance Directives,102945
1842,Skin Diseases,261343
1843,Reaction Time,471546
1844,"Intubation, Intratracheal",126
1845,Norway,13696175
1846,"Embolism, Air",124
1847,Anterior Cruciate Ligament Reconstruction,32230
1848,Prognosis,2797126
1849,"Blotting, Western",1151
1850,Pectins,25354
1851,"Fatty Acids, Omega-3",1227
1852,Egypt,41048586
1853,Ruthenium Radioisotopes,15
1854,Tissue Adhesions,2219
1855,Gonorrhea,401656
1856,"Fatty Liver, Alcoholic",605
1857,"Menisci, Tibial",98
1858,"Hierarchy, Social",1213
1859,Electrolytes,670860
1860,Pain Measurement,4499
1861,"Databases, Factual",1049
1862,Community Mental Health Centers,30621
1863,Stainless Steel,6526070
1864,Inflammation,8645991
1865,Consanguinity,124335
1866,Blood Proteins,18605
1867,Gastrointestinal Stromal Tumors,34883
1868,Elasticity,1421144
1869,Bone Nails,179
1870,Iliac Artery,44063
1871,Athletes,20071732
1872,Hot Flashes,255799
1873,"Hepatitis C, Chronic",558
1874,Hearing Disorders,25271
1875,Phonetics,284347
1876,Dogs,32235980
