Doc ID,Biomedical Entities,Entity Types
216,"['vertical', 'lines', 'distal esophageal mucosa', 'vlem', 'esophagitis', 'children']","['Detailed_description', 'Sign_symptom', 'Biological_structure', 'Biological_structure', 'Sign_symptom', 'Subject']"
217,"['hiv1 / 2', 'point of care test', 'sputum', 'tb', 'hiv', 'infection', 'central india']","['Lab_value', 'Diagnostic_procedure', 'Biological_structure', 'Disease_disorder', 'Disease_disorder', 'Disease_disorder', 'Detailed_description']"
218,"['over', 'the', 'counter', 'syringe']","['Detailed_description', 'Detailed_description', 'Detailed_description', 'History']"
219,['colorectal cancer'],['Disease_disorder']
220,"['evidence', 'improve']","['Diagnostic_procedure', 'Lab_value']"
221,"['polymyalgia', 'rheumatica']","['Disease_disorder', 'Disease_disorder']"
222,"['benign', 'prostate', 'biopsy', 'radical', 'perineal', 'prostatectomy']","['Detailed_description', 'Biological_structure', 'Diagnostic_procedure', 'Detailed_description', 'Detailed_description', 'Therapeutic_procedure']"
223,[],[]
224,['hiv'],['Disease_disorder']
225,"['head', 'positioning', 'influence', 'anterior chamber', 'depth', 'pseudoexfoliation']","['Biological_structure', 'Diagnostic_procedure', 'Lab_value', 'Biological_structure', 'Diagnostic_procedure', 'Disease_disorder']"
226,"['intraoperative', 'major', 'adverse']","['Detailed_description', 'Detailed_description', 'Sign_symptom']"
227,"['transient', 'tachypnea', 'newborn', 'ttn', 'polymorphisms', 'beta - adrenergic receptor', 'adrb']","['Detailed_description', 'Sign_symptom', 'Subject', 'Disease_disorder', 'Sign_symptom', 'Diagnostic_procedure', 'Diagnostic_procedure']"
228,"['adma', 'young', 'adults', 'preterm', 'early endothelial dysfunction']","['Diagnostic_procedure', 'Age', 'Subject', 'Subject', 'Disease_disorder']"
229,"['total', 'hip', 'sheet', 'improve', 'recall']","['Detailed_description', 'Biological_structure', 'Diagnostic_procedure', 'Lab_value', 'Diagnostic_procedure']"
230,"['quaternary', 'cytoreductive surgery']","['Detailed_description', 'Therapeutic_procedure']"
231,"['surgical approach', 'temporomandibular', 'joint']","['Therapeutic_procedure', 'Biological_structure', 'Biological_structure']"
232,"['hepatic arterial', 'unresectable', 'hepatocellular carcinomas']","['Biological_structure', 'Detailed_description', 'Disease_disorder']"
233,['plate clearing'],['Sign_symptom']
234,"['severely injured', 'adult', 'trauma', 'trauma']","['Detailed_description', 'Detailed_description', 'Disease_disorder', 'Nonbiological_location']"
235,"['- lowering peroxisome proliferator - activated receptors', 'bezafibrate', 'colon cancer', 'coronary artery disease']","['Detailed_description', 'Medication', 'Disease_disorder', 'Disease_disorder']"
236,"['serum angiotensin - converting enzyme', 'frequency', 'severe', 'hypoglycaemia', 'type 1', 'diabetes', 'relationship']","['Diagnostic_procedure', 'Severity', 'Severity', 'Sign_symptom', 'Detailed_description', 'Disease_disorder', 'Coreference']"
237,"['hypotension', 'coronary', 'profound', 'hypotensive events', 'myocardial', 'ischaemic events']","['Sign_symptom', 'Disease_disorder', 'Severity', 'Sign_symptom', 'Biological_structure', 'Sign_symptom']"
238,"['hospital mortality rates', '30 - day']","['Diagnostic_procedure', 'Duration']"
239,"['transurethral', 'resection', 'prostate']","['Detailed_description', 'Therapeutic_procedure', 'Biological_structure']"
240,"['syncope', 'bathing', 'pediatric', 'water - induced', 'urticaria']","['Sign_symptom', 'Activity', 'Detailed_description', 'Detailed_description', 'Disease_disorder']"
241,"['women', 'delay childbearing', 'career threats']","['Sex', 'History', 'History']"
242,"['stability', 'miniscrews']","['Diagnostic_procedure', 'Diagnostic_procedure']"
243,"['acute respiratory distress syndrome', 'malignancy']","['Disease_disorder', 'Disease_disorder']"
244,"['neoadjuvant', 'imatinib', 'locally advanced', 'gastrointestinal', 'mutation']","['Detailed_description', 'Medication', 'Detailed_description', 'Biological_structure', 'Diagnostic_procedure']"
245,"['obesity', 'wheezing']","['Disease_disorder', 'Sign_symptom']"
246,['esc'],['Disease_disorder']
247,"['oncology', 'consultation', 'modify']","['Therapeutic_procedure', 'Clinical_event', 'Lab_value']"
248,"['preclerkship', 'clinical performance examinations', 'senior', 'examination']","['Detailed_description', 'Diagnostic_procedure', 'Detailed_description', 'Diagnostic_procedure']"
249,"['mild', 'intellectual disabilities', 'reading comprehension']","['Severity', 'Family_history', 'Diagnostic_procedure']"
250,"['nurse', 'led', 'preoperative education', 'anxiety', 'complications']","['Detailed_description', 'Detailed_description', 'Therapeutic_procedure', 'Sign_symptom', 'Sign_symptom']"
251,"['homocysteine', 'vitiligo']","['Diagnostic_procedure', 'Diagnostic_procedure']"
252,"['cervical', 'block', 'abortion', 'gemeprost', '2nd']","['Coreference', 'Medication', 'Therapeutic_procedure', 'Medication', 'Date']"
253,"['9', 'month', 'treatment', 'enterocolitis']","['Duration', 'Duration', 'Therapeutic_procedure', 'Disease_disorder']"
254,"['cell', 'discordance']","['Diagnostic_procedure', 'Sign_symptom']"
255,"['inverse equity', 'middle', 'income']","['Detailed_description', 'Detailed_description', 'Detailed_description']"
256,"['menopausal hormone', 'therapy', 'irregular', 'endometrial']","['Medication', 'Therapeutic_procedure', 'Detailed_description', 'Biological_structure']"
257,['colonoscopy'],['Diagnostic_procedure']
258,"['open access', 'publishing', 'increase']","['Detailed_description', 'Activity', 'Lab_value']"
259,"['biofeedback', 'psychophysiological responses', 'enhance']","['Diagnostic_procedure', 'Diagnostic_procedure', 'Lab_value']"
260,"['willing', 'community', 'based', 'medical education', 'regional', 'rural']","['Lab_value', 'Detailed_description', 'Detailed_description', 'Therapeutic_procedure', 'Detailed_description', 'Detailed_description']"
261,"['pectins', 'cold', 'winter', 'oil', 'seed']","['Coreference', 'Sign_symptom', 'Detailed_description', 'Detailed_description', 'Detailed_description']"
262,['response'],['Sign_symptom']
263,"['optimism', 'optimistic', 'outlook', 'survival', 'advanced']","['Diagnostic_procedure', 'Lab_value', 'Diagnostic_procedure', 'Diagnostic_procedure', 'Detailed_description']"
264,"['combined therapy', 'growth hormone', 'hyperbaric oxygen', 'left', 'non', 'ischemic', 'colonic']","['Medication', 'Medication', 'Medication', 'Detailed_description', 'Detailed_description', 'Detailed_description', 'Detailed_description']"
265,[],[]
266,"['500', 'prefilled textured saline', 'breast', 'implants', '500', 'standard textured saline', 'breast', 'difference', 'deflation rates']","['Lab_value', 'Detailed_description', 'Biological_structure', 'Coreference', 'Lab_value', 'Detailed_description', 'Biological_structure', 'Lab_value', 'Diagnostic_procedure']"
267,"['withdrawal', 'anxiety', 'alcoholism', 'beta', 'endorphin']","['Detailed_description', 'Sign_symptom', 'History', 'Diagnostic_procedure', 'Diagnostic_procedure']"
268,['cardiac'],['Biological_structure']
269,"['single', 'mitoxantrone', 'high', 'risk', 'metastatic', 'breast', 'chemotherapy']","['Detailed_description', 'Medication', 'Severity', 'Detailed_description', 'Detailed_description', 'Biological_structure', 'Medication']"
270,"['clinical supervision', 'sustain']","['Therapeutic_procedure', 'Lab_value']"
271,"['distal ureteral diameter', 'reflux resolution']","['Diagnostic_procedure', 'Diagnostic_procedure']"
272,"['lumbar', 'cerebrospinal fluid', 'fistula', 'spine', 'surgery']","['Biological_structure', 'Biological_structure', 'Sign_symptom', 'Biological_structure', 'Therapeutic_procedure']"
273,"['joint line positions', 'contralateral knee', 'knee']","['Diagnostic_procedure', 'Biological_structure', 'Biological_structure']"
274,"['myometrial electrical activity', 'preterm']","['Diagnostic_procedure', 'Activity']"
275,"['transmissible liability index', '(', 'tli', 'late', 'childhood', 'suicidal symptoms', 'young']","['Diagnostic_procedure', 'Diagnostic_procedure', 'Diagnostic_procedure', 'Date', 'Detailed_description', 'Sign_symptom', 'Date']"
276,"['strategy training', 'age - related deficits']","['Diagnostic_procedure', 'Sign_symptom']"
277,"['acute', 'stroke', 'rt', 'pa']","['Detailed_description', 'Disease_disorder', 'Medication', 'Medication']"
278,"['adopter', 'drugs']","['Family_history', 'Medication']"
279,"['high', 'risk', 'human papillomaviruses', 'hpvs', 'breast']","['Severity', 'Detailed_description', 'Disease_disorder', 'Disease_disorder', 'Biological_structure']"
280,"['nasogastric', 'decompression', 'leaks', 'laparoscopic sleeve', 'gastrectomy']","['Biological_structure', 'Detailed_description', 'Sign_symptom', 'Detailed_description', 'Therapeutic_procedure']"
281,"['regional', 'anesthesia', 'general anesthesia', 'hip', 'fracture']","['Detailed_description', 'Medication', 'Medication', 'Biological_structure', 'Disease_disorder']"
282,"['barium', 'enemas']","['Diagnostic_procedure', 'Coreference']"
283,"['july', 'effect', 'cancer']","['Detailed_description', 'Sign_symptom', 'Biological_structure']"
284,"['gender dimorphism', 'hemorrhagic shock', 'differences']","['Sign_symptom', 'Disease_disorder', 'Sign_symptom']"
285,"['cardiogenic shock', 'acute', 'myocardial infarction', 'elderly', 'tertiary center', 'improve']","['Disease_disorder', 'Detailed_description', 'Disease_disorder', 'Detailed_description', 'Nonbiological_location', 'Lab_value']"
286,"['low', 'grade', 'cerebellar']","['Detailed_description', 'Detailed_description', 'Biological_structure']"
287,"['department of transportation', 'motor vehicle collisions', 'driving convictions', 'stroke', 'do', 'agree?']","['Nonbiological_location', 'History', 'History', 'Disease_disorder', 'Detailed_description', 'Detailed_description']"
288,['cholesterol screening'],['Diagnostic_procedure']
289,"['boycott', 'kenya', '2015']","['Activity', 'Date', 'Date']"
290,"['discharge', 'nurse', 'visits', 'adequacy']","['Clinical_event', 'Clinical_event', 'Clinical_event', 'Sign_symptom']"
291,"['alexithymia', 'physical symptoms', 'general']","['Disease_disorder', 'Sign_symptom', 'Detailed_description']"
292,['sports'],['Diagnostic_procedure']
293,"['left ventricular', 'motion', 'change', 'fibrous', 'tissue', 'resection', 'endomyocardial', 'fibrosis']","['Biological_structure', 'Sign_symptom', 'Lab_value', 'Disease_disorder', 'Detailed_description', 'Therapeutic_procedure', 'Biological_structure', 'Disease_disorder']"
294,"['gestational', 'age', 'difference', 'birthweights', 'australian aborigines', 'whites']","['Family_history', 'Diagnostic_procedure', 'Lab_value', 'Diagnostic_procedure', 'Personal_background', 'Personal_background']"
295,"['unenhanced fat', 't1', 'mri', 'sickle cell disease', 'bone infarcts', 'acute', 'osteomyelitis']","['Detailed_description', 'Detailed_description', 'Diagnostic_procedure', 'Disease_disorder', 'Disease_disorder', 'Detailed_description', 'Disease_disorder']"
296,"['african american', 'women', 'fewer calories']","['Personal_background', 'Sex', 'Lab_value']"
297,"['audit', 'maternal', 'difference between', 'rich', 'poor']","['Diagnostic_procedure', 'Disease_disorder', 'Detailed_description', 'Detailed_description', 'Detailed_description']"
298,"['wandering', 'physically', 'nonaggressive', 'agitation']","['Detailed_description', 'Detailed_description', 'Detailed_description', 'Sign_symptom']"
299,"['resection', 'pancreatectomy']","['Therapeutic_procedure', 'Therapeutic_procedure']"
300,"['continuous', 'intravenous infusion', 'low', '- concentration', 'epinephrine', 'uterine', 'blood flow', 'pregnant', 'ewes']","['Administration', 'Administration', 'Lab_value', 'Dosage', 'Medication', 'Biological_structure', 'Diagnostic_procedure', 'Subject', 'Subject']"
301,['healthier lifestyles'],['History']
302,"['suicidal behavior', 'affective disorder']","['Disease_disorder', 'Disease_disorder']"
303,"['thrombosis', 'prophylaxis', 'prophylaxis']","['Disease_disorder', 'Therapeutic_procedure', 'Therapeutic_procedure']"
304,"['late', 'night', 'cortisol', 'cortisol', 'obese', 'type 2 diabetes']","['Detailed_description', 'Time', 'Diagnostic_procedure', 'Diagnostic_procedure', 'Disease_disorder', 'Disease_disorder']"
305,"['dose', 'beta', 'radiation', 'posterior choroidal', 'melanomas', '106ru', 'plaques']","['Coreference', 'Detailed_description', 'Therapeutic_procedure', 'Biological_structure', 'Disease_disorder', 'Lab_value', 'Detailed_description']"
306,"['estradiol', 'antagonist', 'pretreatment', 'microdose', 'leuprolide', 'in vitro', 'improve', 'ivf', 'poor', 'oral', 'contraceptive']","['Medication', 'Medication', 'Clinical_event', 'Medication', 'Medication', 'Detailed_description', 'Lab_value', 'Diagnostic_procedure', 'Lab_value', 'Administration', 'Medication']"
307,['risk calculators'],['Diagnostic_procedure']
308,"['diffusion', 'weighted', 'imaging', 'vascularization', 'hepatocellular', 'lesions']","['Detailed_description', 'Detailed_description', 'Diagnostic_procedure', 'Sign_symptom', 'Biological_structure', 'Sign_symptom']"
309,"['confined placental mosaicism', 'adverse perinatal', 'outcomes', 'ivf']","['Detailed_description', 'Lab_value', 'Sign_symptom', 'Detailed_description']"
310,"['elderly', 'different', 'care needs', 'younger']","['Detailed_description', 'Lab_value', 'History', 'Subject']"
311,"['increased', 'nerve length', 'treatment', 'improve', 'trigeminal', 'neuralgia', 'radiosurgery']","['Lab_value', 'Diagnostic_procedure', 'Coreference', 'Lab_value', 'Biological_structure', 'Sign_symptom', 'Disease_disorder']"
312,"['amblyopia', 'visual loss']","['Disease_disorder', 'Disease_disorder']"
313,['elderly'],['Family_history']
314,['ct'],['Diagnostic_procedure']
315,"['arch form', 'sagittal', 'molar relationship']","['Coreference', 'Diagnostic_procedure', 'Sign_symptom']"
316,"['pull', 'through', 'through']","['Coreference', 'Coreference', 'Coreference']"
317,"['temperature', 'kidney']","['Diagnostic_procedure', 'Biological_structure']"
318,"['human immunodeficiency virus', 'end - stage renal', 'disease', 'transplantation']","['Disease_disorder', 'History', 'Disease_disorder', 'Therapeutic_procedure']"
319,"['minimal access', 'surgery', 'newborn']","['Detailed_description', 'Therapeutic_procedure', 'Biological_structure']"
320,"['increased', 'awareness', 'improve']","['Lab_value', 'Diagnostic_procedure', 'Lab_value']"
321,"['care', 'care']","['Diagnostic_procedure', 'Therapeutic_procedure']"
322,"['health habits', 'vaccination status', 'lebanese']","['Diagnostic_procedure', 'Diagnostic_procedure', 'Personal_background']"
323,['amblyopia'],['Disease_disorder']
324,"['insertion', 'ace', 'insulin resistance']","['Detailed_description', 'Coreference', 'Medication']"
325,"['fetal gender', 'department', 'visits', 'asthma']","['History', 'Nonbiological_location', 'Clinical_event', 'History']"
326,"['blunt trauma', 'intoxicated', 'computed tomography', 'abdomen']","['Disease_disorder', 'Detailed_description', 'Diagnostic_procedure', 'Biological_structure']"
327,"['avascular', 'bone', 'systemic', 'lupus', 'erythematosus', 'antiphospholipid']","['Detailed_description', 'Biological_structure', 'Detailed_description', 'Disease_disorder', 'Disease_disorder', 'Diagnostic_procedure']"
328,"['uterine', 'myomas', 'myomas']","['Biological_structure', 'Coreference', 'Disease_disorder']"
329,"['foreign bodies', 'migrate']","['Sign_symptom', 'Sign_symptom']"
330,"['anterior / apical', 'repair', 'midurethral', 'sling', 'improve', 'bladder']","['Detailed_description', 'Therapeutic_procedure', 'Biological_structure', 'Therapeutic_procedure', 'Lab_value', 'Biological_structure']"
331,"['hypoalbuminemia', 'gastric']","['Sign_symptom', 'Biological_structure']"
332,['heterogeneity'],['Sign_symptom']
333,"['growth rate', 'gallbladder', 'polyp', 'neoplastic polyp']","['Diagnostic_procedure', 'Biological_structure', 'Coreference', 'Coreference']"
334,"['gastric', 'magnetic resonance imaging']","['Biological_structure', 'Diagnostic_procedure']"
335,"['hepatitis g virus', 'tt', 'virus', 'cryptogenic', 'chronic', 'liver']","['Disease_disorder', 'Disease_disorder', 'Coreference', 'Detailed_description', 'Detailed_description', 'Biological_structure']"
336,"[""werlhof ' s disease"", 'bleeding', 'complications']","['Disease_disorder', 'Sign_symptom', 'Disease_disorder']"
337,"['mammographic density', 'margin', 're - excision rate']","['Diagnostic_procedure', 'Diagnostic_procedure', 'Diagnostic_procedure']"
338,"['uk', 'radiologists', 'satisfied']","['Diagnostic_procedure', 'Diagnostic_procedure', 'Lab_value']"
339,"['oblique', 'views', 'spondylolysis']","['Detailed_description', 'Coreference', 'Disease_disorder']"
340,"['bile duct', 'bile duct stones']","['Coreference', 'Sign_symptom']"
341,['bedside assessment'],['Diagnostic_procedure']
342,"['frozen section', 'surgical management', 'multinodular', 'thyroid']","['Therapeutic_procedure', 'Therapeutic_procedure', 'Detailed_description', 'Disease_disorder']"
343,"['type 1 diabetes mellitus', 'affect', 'achilles tendon', '10a', 'km']","['Disease_disorder', 'Sign_symptom', 'Biological_structure', 'Dosage', 'Lab_value']"
344,"['higher', 'depression', 'women']","['Lab_value', 'Sign_symptom', 'Sex']"
345,"['indigenous', 'australians', 'age']","['Personal_background', 'Family_history', 'History']"
346,"['adjuvant radiation', 'stage iii']","['Detailed_description', 'Detailed_description']"
347,['diabetes'],['Disease_disorder']
348,"['smoking', 'myocardial infarction', 'women']","['History', 'Disease_disorder', 'Sex']"
349,"['diabetes mellitus', 'swedish', 'art glass workers', 'arsenic']","['Disease_disorder', 'Detailed_description', 'Occupation', 'Disease_disorder']"
350,"['liver', 'metastases', 'colorectal carcinoma', 'pet', '/', 'ct', 'multidetector', 'ct']","['Biological_structure', 'Disease_disorder', 'Disease_disorder', 'Diagnostic_procedure', 'Diagnostic_procedure', 'Diagnostic_procedure', 'Detailed_description', 'Diagnostic_procedure']"
351,"['epidural analgesia', 'peritoneal', 'carcinomatosis']","['Therapeutic_procedure', 'Biological_structure', 'Disease_disorder']"
352,"['acute', 'changes', 'heart rate', 'isoproterenol', 'aortic', 'stiffness', 'hypertension']","['Detailed_description', 'Lab_value', 'Diagnostic_procedure', 'Medication', 'Biological_structure', 'Sign_symptom', 'Disease_disorder']"
353,"['implantable', 'venous access device', 'interventional', 'radiologists', 'antibiotics']","['Detailed_description', 'Therapeutic_procedure', 'Nonbiological_location', 'Therapeutic_procedure', 'Medication']"
354,"['increasing', 'blood ph', 'stimulate', 'protein synthesis', 'dialysis']","['Lab_value', 'Diagnostic_procedure', 'Lab_value', 'Diagnostic_procedure', 'Therapeutic_procedure']"
355,"['necrotizing', 'fasciitis']","['Detailed_description', 'Disease_disorder']"
356,"['arthrography', 'local']","['Diagnostic_procedure', 'Detailed_description']"
357,"['low', 'tone', 'sudden', 'deafness', ""meniere ' s disease""]","['Detailed_description', 'Detailed_description', 'Detailed_description', 'Disease_disorder', 'Disease_disorder']"
358,"['complex fractionated', 'atrial', 'electrograms', 'atrial', 'fibrillation', 'rhythm']","['Detailed_description', 'Biological_structure', 'Diagnostic_procedure', 'Disease_disorder', 'Coreference', 'Diagnostic_procedure']"
359,"['bicompartmental', 'knee', 'arthroplasty', 'knee', 'muscle', 'physical performance', 'total']","['Detailed_description', 'Biological_structure', 'Diagnostic_procedure', 'Biological_structure', 'Diagnostic_procedure', 'Diagnostic_procedure', 'Detailed_description']"
360,"['pain intensity', 'poor', 'opioid response']","['Sign_symptom', 'Lab_value', 'Sign_symptom']"
361,"['radiographic transition zone', 'aganglionosis', ""hirschsprung ' s disease""]","['Sign_symptom', 'Sign_symptom', 'Disease_disorder']"
362,"['neisseria', 'it']","['Biological_structure', 'Coreference']"
363,"['calibration', 'liquid chromatography', 'tandem mass spectrometry', 'testosterone measurement']","['Coreference', 'Diagnostic_procedure', 'Diagnostic_procedure', 'Diagnostic_procedure']"
364,"['internal derangement', 'temporomandibular joint', 'ultrasound']","['Sign_symptom', 'Biological_structure', 'Therapeutic_procedure']"
365,"['delivery mode', 'women', 'of life', 'rural']","['Therapeutic_procedure', 'Sex', 'Diagnostic_procedure', 'Detailed_description']"
366,"['endovenous', 'laser', 'ablation', 'small', 'saphenous', 'varicose veins']","['Detailed_description', 'Detailed_description', 'Therapeutic_procedure', 'Detailed_description', 'Sign_symptom', 'Biological_structure']"
367,['fondaparinux'],['Coreference']
368,[],[]
369,"['chemotherapy', 'survival', 'advanced', 'non', 'small cell', 'lung', 'carcinoma']","['Medication', 'Lab_value', 'Severity', 'Detailed_description', 'Detailed_description', 'Biological_structure', 'Disease_disorder']"
370,"['puberty', 'parents']","['History', 'Subject']"
371,"['private health', 'care', 'nhs']","['Detailed_description', 'Therapeutic_procedure', 'Therapeutic_procedure']"
372,"['decompressive', 'surgery', 'spinal cord', 'sarcoidosis', 'compressive', 'cervical', 'myelopathy']","['Therapeutic_procedure', 'Therapeutic_procedure', 'Biological_structure', 'Disease_disorder', 'Detailed_description', 'Biological_structure', 'Disease_disorder']"
373,"['polyvalent', 'antivenin', 'rattlesnake bites', 'serious', 'acute']","['Detailed_description', 'Medication', 'Disease_disorder', 'Severity', 'Detailed_description']"
374,"['perinatal education', 'improved', 'practice']","['Therapeutic_procedure', 'Lab_value', 'Diagnostic_procedure']"
375,[],[]
376,"['alloimmunization', 'thrombocytopenia']","['Sign_symptom', 'Sign_symptom']"
377,"['globulomaxillary', 'cysts', 'they', 'exist']","['Biological_structure', 'Sign_symptom', 'Coreference', 'Coreference']"
378,"['colorectal cancer', 'synchronous', 'liver', 'metastases', 'global management', 'centre', 'improve']","['Disease_disorder', 'Detailed_description', 'Biological_structure', 'Coreference', 'Therapeutic_procedure', 'Nonbiological_location', 'Lab_value']"
379,"['octogenarians', 'high', 'endarterectomy']","['Diagnostic_procedure', 'Lab_value', 'Therapeutic_procedure']"
380,"['pelvic', 'ct', 'renal cell carcinoma']","['Biological_structure', 'Diagnostic_procedure', 'Disease_disorder']"
381,['circumcision'],['Therapeutic_procedure']
382,"['neuroendoscope', 'ventriculoperitoneal', 'shunt']","['Diagnostic_procedure', 'Biological_structure', 'Sign_symptom']"
383,"['termination', 'pregnancy', 'different', 'fetuses', 'congenital anomalies', 'conceived', 'assisted', 'reproductive techniques']","['History', 'History', 'Lab_value', 'Subject', 'Family_history', 'Detailed_description', 'Therapeutic_procedure', 'History']"
384,"['somatostatin', '2a', 'immunohistochemistry', 'somatostatin', 'scintigraphy', 'tumor']","['Diagnostic_procedure', 'Detailed_description', 'Diagnostic_procedure', 'Diagnostic_procedure', 'Diagnostic_procedure', 'Sign_symptom']"
385,"['growth hormone replacement therapy', 'growth hormone deficiency']","['Medication', 'Disease_disorder']"
386,"['decisional', 'algorithms', 'global', 'introspection', 'adrs']","['Diagnostic_procedure', 'Detailed_description', 'Detailed_description', 'Sign_symptom', 'Disease_disorder']"
387,"['sternal', 'skin conductance']","['Biological_structure', 'Diagnostic_procedure']"
388,"['androgen deficiency', 'aging', 'men', 'partial', 'androgenic deficiency', 'aging', 'men']","['Disease_disorder', 'Disease_disorder', 'Sex', 'Detailed_description', 'Disease_disorder', 'Subject', 'Sex']"
389,['unintended pregnancy'],['History']
390,"['mesopic pupil size', 'cobalt', 'blue', 'light', 'slit - lamp', 'biomicroscopy']","['Sign_symptom', 'Detailed_description', 'Lab_value', 'Detailed_description', 'Diagnostic_procedure', 'Diagnostic_procedure']"
391,"['stress', 'imitation', 'drinking']","['Sign_symptom', 'Activity', 'Activity']"
392,"['clinical variables', 'pathologic', 'radiographs', 'wheezing']","['Diagnostic_procedure', 'Detailed_description', 'Diagnostic_procedure', 'Sign_symptom']"
393,"['provider', 'lung']","['Nonbiological_location', 'Biological_structure']"
394,"['laminoplasty', 'degenerative', 'stenosis', 'ossification', 'posterior longitudinal ligament']","['Diagnostic_procedure', 'Detailed_description', 'Disease_disorder', 'Disease_disorder', 'Biological_structure']"
395,"['overweight', 'children', 'overweight']","['Family_history', 'Subject', 'Family_history']"
396,"['liver', 'surgery', 'air']","['Biological_structure', 'Therapeutic_procedure', 'Biological_structure']"
397,"['chest', 'radiography', 'transbronchial', 'biopsy']","['Biological_structure', 'Diagnostic_procedure', 'Biological_structure', 'Diagnostic_procedure']"
398,"['acid', 'congenital heart defects']","['Diagnostic_procedure', 'Disease_disorder']"
399,"['sutures', 'hiatal', 'hernia', 'repair', 'laparoscopic', 'adjustable', 'gastric']","['Therapeutic_procedure', 'Biological_structure', 'Disease_disorder', 'Therapeutic_procedure', 'Detailed_description', 'Detailed_description', 'Biological_structure']"
400,"['care benefits', 'kenya', 'universal']","['Diagnostic_procedure', 'Nonbiological_location', 'Detailed_description']"
401,"['women', 'major', 'depression', 'pregnancy']","['Sex', 'Severity', 'Sign_symptom', 'Disease_disorder']"
402,"['bone thickness', 'inter - radicular space', 'miniscrew', 'posterior mandibular sites']","['Diagnostic_procedure', 'Biological_structure', 'Diagnostic_procedure', 'Biological_structure']"
403,"['spect study', 'i - 123 - ioflupane', 'datscan', 'essential', ""parkinson ' s disease""]","['Diagnostic_procedure', 'Medication', 'Medication', 'Detailed_description', 'Disease_disorder']"
404,"['colorectal cancers', 'missed', 'adenomas']","['Disease_disorder', 'Disease_disorder', 'Detailed_description']"
405,"['assessment', 'acute', 'febrile', 'sickle cell disease']","['Diagnostic_procedure', 'Detailed_description', 'Detailed_description', 'Disease_disorder']"
406,"['nonproliferative', 'breast', 'proliferative', 'breast', 'atypia', 'fine', 'needle aspiration', 'cytology']","['Detailed_description', 'Biological_structure', 'Detailed_description', 'Biological_structure', 'Sign_symptom', 'Detailed_description', 'Detailed_description', 'Diagnostic_procedure']"
407,"['vancomycin', 'mic', 'creep']","['Coreference', 'Detailed_description', 'Sign_symptom']"
408,"['vitamin d deficiency', 'celiac']","['Disease_disorder', 'Disease_disorder']"
409,"['renal', 'warm', 'ischemia', 'over', '30 minutes', 'laparoscopic', 'partial', 'nephrectomy']","['Biological_structure', 'Qualitative_concept', 'Sign_symptom', 'Duration', 'Detailed_description', 'Detailed_description', 'Detailed_description', 'Therapeutic_procedure']"
410,"['psa', 'fluctuating levels']","['Diagnostic_procedure', 'Lab_value']"
411,"['breast', 'adjuvant', 'chemotherapy']","['Biological_structure', 'Detailed_description', 'Medication']"
412,"['well differentiated', 'small', 'carcinoma', 'well differentiated', 'hepatocellular carcinoma']","['Detailed_description', 'Detailed_description', 'Disease_disorder', 'Detailed_description', 'Disease_disorder']"
413,"['preoperative', 'medically supervised', 'weight loss program', 'improve', 'bariatric']","['Detailed_description', 'Detailed_description', 'Therapeutic_procedure', 'Lab_value', 'Therapeutic_procedure']"
414,"['bony defects', 'chronic', 'anterior', 'posttraumatic dislocation', 'shoulder', 'humeral', 'glenoidal', 'lesions']","['Sign_symptom', 'Detailed_description', 'Biological_structure', 'Disease_disorder', 'Biological_structure', 'Biological_structure', 'Biological_structure', 'Sign_symptom']"
415,"['bracket', 'three months']","['Therapeutic_procedure', 'Duration']"
416,['cigarette tax rate'],['Diagnostic_procedure']
417,"['negative margins', 'breast', 'conservation', 'breast']","['Lab_value', 'Therapeutic_procedure', 'Therapeutic_procedure', 'Biological_structure']"
418,"['abdominal aortic', 'aneurysm surgery', 'distal']","['Biological_structure', 'Therapeutic_procedure', 'Detailed_description']"
419,"['discharging', 'winnipeg']","['Clinical_event', 'Nonbiological_location']"
420,"['surgical management', 'ascending aorta']","['Therapeutic_procedure', 'Biological_structure']"
421,['serum paraoxonase'],['Diagnostic_procedure']
422,"['antibiotics', 'decrease', 'tonsillectomy']","['Medication', 'Lab_value', 'Therapeutic_procedure']"
423,"['prostate specific antigen', 'body mass index']","['Diagnostic_procedure', 'Diagnostic_procedure']"
424,"['insert', 'nasobiliary drainage tube', 'clearance', 'common bile duct', 'choledocholithiasis', 'cholangitis']","['Therapeutic_procedure', 'Therapeutic_procedure', 'Therapeutic_procedure', 'Biological_structure', 'Disease_disorder', 'Disease_disorder']"
425,"['antiepileptic', 'suicidality']","['Medication', 'Other_event']"
426,"['high flow', 'nasal', 'cannulae', 'noisier', 'bubble', 'cpap', 'preterm']","['Detailed_description', 'Biological_structure', 'Coreference', 'Lab_value', 'Detailed_description', 'Therapeutic_procedure', 'Subject']"
427,"['arginine', 'vasopressin v1a receptor', 'hypersexuality', 'prepubertal', 'early adolescent', 'bipolar disorder phenotype']","['Diagnostic_procedure', 'Diagnostic_procedure', 'History', 'History', 'History', 'History']"
428,"['carotid', 'endarterectomy']","['Therapeutic_procedure', 'Therapeutic_procedure']"
429,"['supervised', 'colorectal trainees', 'consultants', 'tme']","['Detailed_description', 'Diagnostic_procedure', 'Detailed_description', 'Disease_disorder']"
