Term,Dolma,Pile,RPJ
Observer Variation,3359,1589,1569
Morbidity,5432343,1853164,2428715
Adhesives,3398830,319113,870774
Antitubercular Agents,4075,1661,1994
"Mossy Fibers, Hippocampal",7,16,14
Dietary Fiber,1448666,133914,356107
Open Fracture Reduction,258,121,75
Bone Marrow,5407188,1683774,2500433
Exercise,135609581,12447977,47276006
Metabolic Diseases,396942,94838,190674
Radiotherapy,3949118,1311758,1521678
Health Services Accessibility,1239,251,1565
Sperm Count,964791,54280,140615
Noninvasive Ventilation,59288,13718,24034
Alphapapillomavirus,1059,336,404
"Analgesia, Epidural",677,184,232
Head Protective Devices,143,21,116
Pelvic Pain,642853,68720,188928
Pregnancy Complications,247856,40427,109132
Mitochondria,4391361,1746183,1546201
Drug Prescriptions,49731,11636,24283
"Child, Preschool",1900,145,7227
Kentucky,24648319,2228139,17166077
Retinal Diseases,111177,22554,63800
Health Personnel,236018,37694,135771
Head-Down Tilt,6701,3795,2417
Algorithms,30702905,4807979,12138801
Postoperative Care,110963,26645,35319
Heart Valve Prosthesis Implantation,131,18,93
Computer-Aided Design,386793,32193,134768
Refractive Errors,142626,27764,49620
Fecal Incontinence,136400,30957,46125
Renal Dialysis,61662,8367,41116
Supine Position,331910,136249,92720
Hip Joint,749973,122822,217888
Multilingualism,336984,14698,230175
Extremities,2372322,478228,923763
Muscle Spasticity,45957,4172,15168
"Chromatography, High Pressure Liquid",523,175,878
Nasopharyngeal Neoplasms,576,134,221
Forecasting,8420073,471312,3762412
Cyclophosphamide,757544,293462,345113
"Hospitals, Private",36792,1930,15495
Turkey,54414302,4065663,31242481
Adrenergic beta-Antagonists,348,57,252
Cushing Syndrome,17227,607,4768
Glucose Tolerance Test,238038,102672,77239
Locomotion,1299743,364435,665485
Pancreatic Juice,52071,18039,16119
"Radiotherapy, Conformal",65,29,35
"Lasers, Solid-State",802,124,502
Intestinal Neoplasms,1358,562,657
Arthrodesis,174130,70711,57300
Knee Prosthesis,24588,12279,9144
Empathy,13209274,1003398,7012424
Competitive Behavior,29678,3920,11967
Syncope,670931,155402,291092
"Immunity, Cellular",1491,336,756
Skin Temperature,262436,61324,92435
Spain,50712940,4578551,34382182
GB virus C,3705,1719,1758
England,108016031,11585691,91735729
Stromal Cells,609036,299411,233021
Erythrocytes,906436,462626,304487
Polysomnography,186353,55269,62431
Severity of Illness Index,819,269,2510
Activities of Daily Living,940579,188910,304717
Balloon Occlusion,30143,12100,12177
Urticaria,701222,117359,290843
Organ Preservation,40387,13086,17211
Radiation Injuries,11279,2787,6644
"Accidents, Traffic",14869,636,5259
Photography,55352538,2302041,28104698
Behavior,142756863,21513085,65400152
Fires,21930513,2179992,13283651
"Spectrometry, X-Ray Emission",51,6,34
Choledocholithiasis,45581,19398,13942
Language Development Disorders,679,104,427
Pharynx,614361,118189,202160
Central Venous Pressure,68757,31371,25570
Insulin Antibodies,7130,2883,2403
"Anesthetics, Inhalation",107,20,147
Osteonecrosis,252678,74099,111344
"Rats, Wistar",682,53,1234
"Radiography, Thoracic",206,65,99
"Students, Dental",3966,285,1492
Meningitis,2420079,475251,1366359
"Image Processing, Computer-Assisted",299,17,1036
Liver Cirrhosis,460612,174451,168038
Denmark,18037002,1599276,11622462
Cryptorchidism,112097,36171,41586
"Shock, Cardiogenic",745,259,363
Thymus Neoplasms,71,18,124
Resource Allocation,1219425,177770,565631
Hysteroscopy,229147,36207,65804
Steroids,21139124,870118,3331609
Hospital Administration,166442,14107,91239
Obesity,21824572,3723798,8912015
Joint Dislocations,16929,3252,6922
"Vena Cava, Inferior",976,316,408
"Malocclusion, Angle Class II",61,5,14
Perinatal Care,58345,11716,32351
Ventriculoperitoneal Shunt,28826,10532,11785
Sympathomimetics,51939,4698,29734
Emergencies,10677259,531503,4283698
"Peer Review, Health Care",29,12,64
Staff Development,548273,18262,343493
Dermatologic Surgical Procedures,534,74,165
Mass Casualty Incidents,16864,2108,12088
Mental Disorders,2181221,381568,1133575
Life Change Events,1132,256,507
"Diabetes Mellitus, Type 2",2959,601,3324
Irritable Bowel Syndrome,984895,102049,400683
"Antineoplastic Agents, Hormonal",94,11,111
"Urinary Bladder, Overactive",30,11,84
Color,420447007,27838221,106637904
Rectum,2240678,361563,557653
Interrupted Time Series Analysis,12030,2177,7543
Self Efficacy,72203,7063,20628
Case-Control Studies,219305,91675,106050
"Cartilage, Articular",374,134,418
Compact Disks,33229,10301,16654
Nickel,18696562,1310261,6363110
Plant Leaves,265889,23925,66133
Human Growth Hormone,700604,41765,176468
Fluorouracil,173016,48569,84909
"Echocardiography, Transesophageal",1381,215,610
"Constriction, Pathologic",135,17,219
"Carcinoma, Squamous Cell",16846,2713,5933
Bacteremia,534974,212826,233695
Cell Wall,1749432,625846,607550
Neuroendocrine Tumors,177158,43244,94375
Touch,250374690,16289302,88509026
"Receptors, Dopamine D2",53,11,101
Athletic Injuries,54495,2688,26065
Healthcare Disparities,50828,3423,34074
Philadelphia,31738463,3146601,26143424
Diagnostic and Statistical Manual of Mental Disorders,311361,62893,196467
Health Care Costs,1219099,156925,774751
Mobility Limitation,11832,3575,4592
Turbinates,77234,16986,23779
Linear Models,469169,144661,231389
"Education, Medical, Undergraduate",93,24,163
Australia,157084176,9216984,94015972
Precursor Cell Lymphoblastic Leukemia-Lymphoma,117,32,1085
ROC Curve,17525,4731,6428
Cough,19767705,2114456,7474451
Baltimore,18855358,2008329,15648478
Linkage Disequilibrium,237741,146952,86224
Sweetening Agents,20417,4796,7853
Complement Factor H,2884,479,1412
"Neoplasms, Glandular and Epithelial",115,14,172
Substance-Related Disorders,16169,3274,10359
Insulin Infusion Systems,457,123,132
Motion Pictures,2564521,121484,1188230
Fever,25127877,3277684,12637835
Nitrous Oxide,974939,118214,550294
Neurodegenerative Diseases,932904,259860,546486
Anticoagulants,720663,149564,279396
Sex Determination Analysis,65,28,61
"Monitoring, Ambulatory",724,75,466
"Cardiology Service, Hospital",95,2,51
Titanium,14015725,1141088,3156087
"Radiographic Image Interpretation, Computer-Assisted",37,9,47
Surveys and Questionnaires,34762,1537,19381
Saudi Arabia,19502178,1533808,14076260
Non-ST Elevated Myocardial Infarction,93,13,68
Endosonography,23793,7069,5327
Nova Scotia,5028373,455098,3686191
"Analgesia, Patient-Controlled",109,42,85
Heart Transplantation,166388,65978,87128
Epinephrine,1165292,269752,466034
Precancerous Conditions,14889,2906,5843
"Pregnancy, Twin",580,123,187
Frozen Sections,88083,48808,29565
Spinal Fusion,298656,58702,116735
Spinal Cord Diseases,5577,800,2375
Acute Coronary Syndrome,341310,107785,186080
Africa,146138577,8435652,92011992
Benign Paroxysmal Positional Vertigo,41643,6871,16179
"Leukemia, Myelogenous, Chronic, BCR-ABL Positive",93,9,194
Ureter,1480584,467534,378523
Physical Examination,1916747,434447,643824
Qualitative Research,1845402,136013,819677
"Quality Indicators, Health Care",112,40,163
Giant Cell Arteritis,76302,13309,40334
Muscle Strength,1496714,243837,376949
Atracurium,41982,16639,15256
Environmental Monitoring,625463,49380,337748
"Antiretroviral Therapy, Highly Active",105,24,338
Autoimmune Diseases,1388906,318581,622911
Laparotomy,482801,219222,147307
"Signal Processing, Computer-Assisted",78,0,220
Kidney,27633157,4353598,9910732
North America,34898022,2518890,21637865
Drug Administration Schedule,824,310,973
Gadolinium DTPA,222,150,192
"Mice, Inbred BALB C",244,19,1073
"Pattern Recognition, Automated",165,18,127
Postoperative Hemorrhage,11331,5595,3393
Child Language,83171,6600,56819
Escherichia coli,2419319,490732,1175806
von Willebrand Factor,16507,5775,6644
Hormone Replacement Therapy,658130,77032,249415
Penile Diseases,1314,105,90
Interleukin-8,94013,39921,43261
"Receptors, Progesterone",3457,603,1186
Shoulder Joint,472734,49296,124117
Pregnancy Outcome,136888,48983,62447
Health Status,2507353,548810,1125646
Confounding Factors (Epidemiology),12,6,22
Nigeria,48000952,1441712,23019855
Contusions,191700,46008,92731
Heart Failure,7028966,1442292,3100305
Snake Bites,150422,12529,69055
Anticonvulsants,293584,49841,101838
Intracranial Aneurysm,45500,15210,18844
Neuroendoscopes,1266,141,321
Carbon Dioxide,9298196,1185016,6083351
Dietary Supplements,8463925,128013,764840
Hyperlipidemias,7561,2149,2906
Libido,14857551,171317,692529
Laryngeal Masks,7259,795,953
Fistula,1707196,546878,642257
Neuromuscular Agents,550,170,244
Government Agencies,6041680,390876,3995718
gamma-Glutamyltransferase,18092,12407,8152
"Radiography, Interventional",132,34,66
Social Security,17923041,1582408,10938980
Continuity of Patient Care,11713,1351,4090
Lower Urinary Tract Symptoms,115634,28971,44624
Neural Inhibition,5438,1661,2175
Epirubicin,107537,58082,42081
Tobacco Industry,628112,74739,513424
"Osteoarthritis, Hip",2218,139,717
Second-Look Surgery,3524,2016,1367
Drug Packaging,22729,2711,10434
Peptidyl-Dipeptidase A,66,13,176
Patient Care Management,16204,1023,5335
Triglycerides,2484312,564916,657994
Bone Screws,25855,18504,14939
Commerce,34534895,3754337,22762753
Medical Oncology,424346,37634,324976
Ultrasonography,1135935,436853,416622
Growth Hormone,2630255,311466,673901
Travel,379126531,18883224,156689046
Hemostatics,3629,814,1316
Periodicity,833901,389443,433091
Interviews as Topic,203,30,689
Evaluation Studies as Topic,183,25,279
Thrombocytopenia,1231836,334828,544170
Psychotic Disorders,217649,52347,111529
Alberta,14765085,1095002,10379436
Oxygen Inhalation Therapy,665,236,263
Luteal Phase,224704,60113,66653
Aortic Valve,890133,268466,373021
Liver Diseases,525875,133066,228733
Hypotension,1819226,392480,727182
beta-Endorphin,48955,38988,14572
Arm,157581175,20756705,74860060
Nuchal Translucency Measurement,3131,773,1167
Critical Care,2893461,242470,1731287
Sex Factors,3853,628,3125
Education of Intellectually Disabled,92,3,781
Spinal Cord Compression,95869,30894,36038
Ischemia,3008974,1525762,1099930
Early Detection of Cancer,46705,7049,26683
"Receptor, ErbB-2",36,20,151
Prenatal Care,633892,101766,316804
"Pancreatitis, Chronic",3006,752,1212
Carotid Stenosis,78751,32400,30771
Adolescent,9740010,1289349,5672827
Hypoglycemia,2016571,377644,579103
Drug Delivery Systems,316598,76739,128216
Wounds and Injuries,22160,2080,11339
Enzyme-Linked Immunosorbent Assay,402144,231761,148960
Sputum,1240424,433966,418102
"Infant, Very Low Birth Weight",58,22,147
Diabetes Mellitus,4117059,1084768,1450538
"Depressive Disorder, Major",771,284,890
Psychometrics,165570,17347,101419
Pancreatic Fistula,37666,19554,7711
Vitamin D,3951125,223841,1100976
Insurance Benefits,812727,105817,345272
Emergency Treatment,458329,34676,175732
"Endarterectomy, Carotid",460,140,418
Deglutition Disorders,925,365,417
False Positive Reactions,3678,1892,2701
"Aortic Aneurysm, Abdominal",274,50,237
"DNA, Viral",264,18,703
Resuscitation,2153588,470472,1034803
Scapula,601604,105828,203164
Apoptosis,9573606,5282306,3010781
Ophthalmoscopy,83056,25493,29254
Urban Health Services,901,145,900
Multivariate Analysis,970778,517039,342641
Nasal Cavity,467301,99109,168724
"Personnel Administration, Hospital",44,1,12
"Ligaments, Articular",492,90,161
Arterial Occlusive Diseases,1798,820,706
Drug Interactions,1421477,85593,453122
Emergency Nursing,60906,3112,31312
Constriction,1024115,273255,357745
Disease-Free Survival,301895,171369,115453
Crotalus,37156,7224,23214
Sports,224399700,9537999,105924819
"Microscopy, Electron",10157,2507,5884
"Chemoembolization, Therapeutic",26,6,22
Workload,8981858,736029,3055232
Geographic Information Systems,386586,20542,214813
"Genes, abl",19,5,7
Viral Load,1188503,363094,542904
Abdominal Injuries,32442,7293,17209
Galvanic Skin Response,33498,6228,17554
Remote Consultation,36889,1821,14592
Socioeconomic Factors,247600,53426,120924
Hypertension,16285444,3464842,4802934
Muscle Contraction,541831,125619,174370
Hydrocortisone,684988,121865,163989
"Goiter, Nodular",195,46,90
Cost of Illness,18288,5393,10653
Disease Progression,1747124,603522,777441
Respiration,3837403,793119,1341884
Esophagus,2824186,440703,830874
Health Manpower,14786,2376,9617
Israel,89018657,10107555,80579062
British Columbia,9896728,828572,7579014
Placebos,269820,39805,154818
Pulmonary Ventilation,24236,7715,8218
Midazolam,481493,168228,251209
"Kidney Failure, Chronic",2200,322,1318
Maze Learning,6344,3124,2937
Prosthesis Failure,2757,1144,1010
Neuronal Plasticity,55465,25246,25673
"Antigens, Plant",37,14,16
Serum Albumin,825048,495619,257741
"Adaptation, Psychological",594,93,689
Communicable Diseases,527044,53627,381783
Cochlea,465849,157441,222804
Syringes,1609627,197306,594123
Magnetic Resonance Angiography,60480,26997,26521
Ambulatory Surgical Procedures,1772,415,720
Thyroxine,491549,107372,146221
Medicine,128342023,9079049,73995764
Psychomotor Agitation,21661,5111,10127
First Aid,7026411,263541,2437949
Lactic Acid,2134267,288919,576158
World Health Organization,6794359,737704,4265748
Friction,15335407,1906162,4899058
Anterior Chamber,309423,132194,101847
"Neovascularization, Physiologic",40,3,154
Orthodontic Appliance Design,169,119,47
Sheep,23004623,2763655,11620051
Allied Health Personnel,9437,1044,4723
Health Education,2244482,216839,1375785
"Analgesia, Obstetrical",22,3,79
Stomach Neoplasms,752,475,765
Taxes,66136133,5256514,33095560
"Tomography, Emission-Computed",135,63,346
Cancer Care Facilities,2793,233,1698
Nurse Practitioners,1107750,58767,448050
"Adenocarcinoma, Mucinous",991,524,493
Surgical Instruments,426802,75163,161108
Fluoroimmunoassay,5542,3999,1711
"Imaging, Three-Dimensional",878,223,692
Interleukin-6,400777,160961,174421
Cecal Neoplasms,34,22,14
Neck Pain,2229198,138926,473657
"Ultrasonography, Doppler, Transcranial",17,14,96
Telemedicine,2853010,174431,1385536
Hemodynamics,426476,185564,149961
Hypoalbuminemia,100111,41496,35699
Patient Access to Records,804,79,2853
Anterior Cruciate Ligament Injuries,11693,1738,7626
Dietary Carbohydrates,39883,6601,10046
Catheter-Related Infections,15699,4997,6936
HIV,37679465,8493086,22996409
"Ultrasonography, Doppler, Pulsed",8,5,3
Twins,15412274,1535228,8800515
Anorexia,2387414,299690,938417
Logistic Models,41085,18350,15659
Esophagitis,405444,94250,145181
Radiography,1228505,280875,498074
Odontometry,552,87,275
Japan,108687785,9814748,64240183
Office Visits,391980,36694,148777
San Francisco,40978572,4008415,34853928
"Infant, Premature",453,84,769
Sweden,28724939,2548242,17764705
Geriatric Nursing,42473,2678,15640
Ligation,1362134,610210,432258
Kenya,25557278,1176434,14082975
Counseling,24720110,1426400,10802609
Nose,43680881,4537548,15879392
Sleep Initiation and Maintenance Disorders,405,65,883
Humerus,663487,165702,270291
Venous Thrombosis,356097,118691,163942
"Pregnancy, Unplanned",725,100,995
Diabetes Complications,150518,24059,52301
Spinal Cord Injuries,447645,34942,243320
Awareness,72899244,4604917,36602740
ST Elevation Myocardial Infarction,3633,421,2021
"Sterilization, Tubal",170,28,201
"Injections, Intra-Articular",154,9,87
Age of Onset,292189,111489,143145
Urological Agents,54,10,42
In Situ Nick-End Labeling,165,126,138
Specialization,6261747,508900,2717981
Protective Devices,149143,18669,59196
Occupations,6143572,556661,3623882
Thoracic Wall,32994,11104,10992
Thoracic Injuries,10592,3621,3936
"Chromatography, Affinity",1585,1157,902
Quality of Life,19605566,2295972,8619902
Pulmonary Valve Insufficiency,947,379,351
Pulmonary Surfactants,2257,961,836
Diastole,204168,82175,56445
Craniotomy,258560,95067,89174
Cognition Disorders,1836,604,1849
Neurotoxins,208108,48657,110552
"Lasers, Semiconductor",1287,273,578
Physical Endurance,155856,10682,55634
Patient Satisfaction,1184577,196756,386971
"Monitoring, Intraoperative",261,57,128
Physician's Role,6437,2018,5141
"Hematoma, Epidural, Spinal",10,3,7
Truth Disclosure,797,167,418
Lipase,1011981,365376,308726
Tobacco Products,1865560,148280,1069732
Paclitaxel,1013845,443617,438817
Hazardous Substances,595706,69351,454194
Kidney Neoplasms,1332,505,754
"Audiometry, Pure-Tone",55,14,43
Glycated Hemoglobin A,525,83,502
Weight-Bearing,439236,77569,131561
Public Health Practice,148649,17645,95566
Neck Dissection,130593,54559,40097
Staphylococcus epidermidis,108231,22331,49162
Endothelin-1,131097,78893,50929
"Analgesics, Opioid",962,161,587
"Ossification, Heterotopic",34,9,34
Victoria,33415044,2567060,23885043
Sickness Impact Profile,5873,3297,3236
Carcinoma,9882023,3895849,3934260
Bupivacaine,345473,136783,151044
"Tomography, Emission-Computed, Single-Photon",78,34,194
Delivery of Health Care,164841,11613,75587
Intestines,3183491,320518,992091
Aspartate Aminotransferases,2857,1474,1388
Mammaplasty,33834,9607,6964
Up-Regulation,775596,491518,243232
Mitral Valve,714455,233045,296508
Nonprescription Drugs,60385,3483,17562
"Liver Diseases, Alcoholic",257,84,114
"Obesity, Morbid",852,183,538
"Tuberculosis, Meningeal",24,25,44
Health Services for the Aged,357,69,182
Proliferating Cell Nuclear Antigen,57854,37958,18647
Colonic Neoplasms,3973,1737,2157
Uterine Cervical Neoplasms,713,135,618
Hypertrophy,2213596,715432,600094
"Receptors, Somatostatin",168,82,121
Papillomavirus Infections,11509,1882,5813
Suicide,31840111,3935443,23840493
Computational Biology,459448,60600,360498
Depressive Disorder,1068595,202501,551884
National Health Programs,6023,976,4827
Androsterone,45571,7259,10177
Fear,152277632,16489155,80867133
Safety Management,1035644,28430,465438
Margins of Excision,1446,665,491
Immunoglobulins,451210,163123,159395
Racquet Sports,78498,2985,37843
"Medical Records Systems, Computerized",83,32,201
Brachytherapy,536114,164785,220554
Markov Chains,93208,12911,21573
Anti-Asthmatic Agents,316,548,334
"Catheters, Indwelling",440,67,138
"Ischemic Attack, Transient",130,34,367
Cardiopulmonary Resuscitation,331973,66225,152196
C-Peptide,30852,8092,9329
"Anatomy, Cross-Sectional",113,28,36
"RNA, Neoplasm",32,3,67
Affect,185454535,20453159,75144111
Regional Medical Programs,969,209,730
Morphine,3064059,798525,1289459
Miniaturization,453512,197497,195464
"Hospitals, Group Practice",35,1,21
Reimbursement Mechanisms,5767,920,3463
"Receptors, GABA-A",52,3,130
Rectal Neoplasms,2138,583,537
Cognition,6453567,1091193,3552244
Anterior Cruciate Ligament,417925,92834,208706
Sarcoma,1686127,526267,888549
Organometallic Compounds,51573,13034,20381
Mitoxantrone,106137,47626,50556
Infant,21905326,2919755,10691522
Rats,22339676,8776275,8706649
Nomograms,82598,28462,23032
Thailand,29167489,1567349,14397804
Narcotics,3340879,710368,2205788
"Hernia, Diaphragmatic",281,92,104
Pregnant Women,7404953,977563,3492784
Phenanthrenes,5149,2274,1791
Chorionic Villi Sampling,2945,639,1183
Waiting Lists,738348,52164,399872
Epilepsy,7920658,1184518,3436125
Stroke Volume,225310,99795,65416
"Sphincterotomy, Endoscopic",138,83,33
Atrial Fibrillation,1876759,423377,955355
Electrocardiography,204288,66650,76814
Prone Position,306841,81393,109550
Bezafibrate,26990,15526,9895
Epidemiologic Methods,13185,2552,9673
"Biopsy, Needle",710,133,358
"Carcinoma, Intraductal, Noninfiltrating",9,4,63
Blood Pressure,48972905,3408152,7251741
Coronary Artery Bypass,445189,170939,226857
Medicaid,13775658,1295400,9219677
Tolonium Chloride,596,175,225
Follicular Phase,98920,35571,30421
Income,169582516,11793765,78469433
Cholecystectomy,484547,179040,175646
"Coated Materials, Biocompatible",29,4,35
Andropause,123417,5135,27924
United Kingdom,35996838,2589271,23800917
Tibial Fractures,31228,11247,9747
Venous Pressure,174211,72207,61891
Iodized Oil,8161,4973,2765
Statistics as Topic,252,11,511
"Arrhythmias, Cardiac",5400,1045,2970
"Death, Sudden, Cardiac",87,22,347
Respiratory Tract Fistula,67,60,29
Neoplasm Proteins,902,11,745
Nurses' Aides,4339,1608,2192
Social Behavior,724024,114988,427958
"Education, Medical, Continuing",63,15,79
Europe,174610611,16627057,115138765
Diffusion Magnetic Resonance Imaging,6210,1574,2917
"Sexual Dysfunctions, Psychological",66,22,68
Magnetic Resonance Imaging,2280808,800029,1110005
Otolithic Membrane,2350,931,1068
Oncology Nursing,95112,6496,52441
Kidney Transplantation,320511,100665,137401
Lymphedema,689387,99279,273737
Pulsatile Flow,29074,15319,11909
Random Allocation,52572,21120,22553
Computer Systems,3989814,414759,1506719
Hispanic Americans,131838,13444,108276
Thinness,480203,83938,205647
"Surgical Procedures, Operative",368,104,1370
Radiopharmaceuticals,182672,40676,94876
Androgens,920209,154900,220872
Cerebrospinal Fluid,993343,366957,471774
"Neoplasms, Multiple Primary",92,6,67
Orthopedic Procedures,39971,6275,16134
Veterans,33013665,2757055,25578329
Fetal Diseases,1988,490,806
Health Promotion,2068811,257231,1240188
Microsatellite Repeats,4950,2854,2512
Urban Population,520895,64233,337582
African Continental Ancestry Group,143,27,389
Wound Healing,2084279,580488,657446
Heart,376420494,31709712,160725585
Chromones,7683,3299,2023
Endometrium,712236,224426,243711
DNA Helicases,624,82,399
"History, Ancient",25410,1528,30333
Solutions,240495556,13783050,81600927
Mandelic Acids,3515,328,602
Pediatric Obesity,39910,6927,23864
Sulfones,23289,16318,9667
Patient Safety,2451990,253534,1562367
Self Disclosure,23400,680,6212
Stroke,41199176,5846812,14950552
Child Mortality,362834,60513,282269
Cytokines,5865651,2840306,1908033
Patient Discharge Summaries,854,213,572
Superoxides,15542,6159,6666
Fasting,11830440,1520615,3404708
Sterilization Reversal,2078,293,1002
Dopamine,6102127,1341831,2088933
Intestinal Absorption,122046,43392,43375
Tetralogy of Fallot,58950,8217,23269
Diet Records,8746,4157,3716
"Anesthesia, Obstetrical",192,8,132
Intercellular Adhesion Molecule-1,43349,27200,18536
"Emergency Service, Hospital",249,67,768
"Dental Implantation, Endosseous",36,35,32
"Leukemia, Myeloid",846,306,2081
"Diabetes Mellitus, Type 1",1880,250,1670
Pamphlets,1827100,233721,1417276
Drug-Eluting Stents,74850,21466,45616
Child Behavior,137452,30325,60964
Cyanoacrylates,22593,4374,6214
Amides,212732,124197,98611
Neurons,16167444,7118984,6656538
Leadership,115046759,6558729,80718965
"Delivery, Obstetric",832,208,654
Cooperative Behavior,54292,15759,31372
Catheters,1352155,448986,510256
"Pain, Postoperative",4058,1006,1551
Cell Proliferation,3074681,1771447,920702
Spouses,8194909,526964,3705849
Pre-Eclampsia,371493,96982,166717
Cervix Uteri,25465,7871,8333
Diabetic Retinopathy,877899,185109,363723
Nutritional Sciences,121810,7794,104398
Neurologic Examination,57082,15708,22877
"Ultrasonography, Doppler, Duplex",10,10,17
Aged,45164641,5137624,22929555
Heart Rate,10796005,1382907,2935032
Angina Pectoris,267251,86753,98190
Employment,82712110,7835563,49693965
Clinical Competence,82943,10379,31202
Ilium,168946,44371,77764
Endometrial Neoplasms,937,380,714
Statistical Distributions,55818,13691,23909
Tooth Crown,39486,6295,9064
Capillaries,1524297,356543,456864
Endometriosis,2465952,354297,953527
Suture Techniques,9670,3465,2635
Bone Wires,246,43,238
"Injections, Intramuscular",341,49,215
Hemorrhage,3201709,1029188,1433925
Iceland,14039664,1019511,9272920
Melanoma,5624409,1616913,2366174
"Financing, Personal",3453,36,610
Homes for the Aged,21250,2725,17773
Cervical Vertebrae,141181,32555,60817
"Nose Deformities, Acquired",10,5,11
Software,378579965,28618924,104608299
"Hematoma, Subdural",811,368,553
Autoantibodies,840726,338680,349578
Double-Blind Method,4591,1724,3881
Cyclooxygenase 2 Inhibitors,1284,340,838
Recurrence,7454107,2820657,2860877
"Endoscopy, Gastrointestinal",634,105,375
Karnofsky Performance Status,9214,5119,3963
Non-alcoholic Fatty Liver Disease,174871,34494,90339
Membrane Proteins,626856,292575,246208
Suture Anchors,25572,13426,7043
Parent-Child Relations,23538,5562,19788
Cardiac Surgical Procedures,9113,3560,4361
"Genes, erbB-1",7,3,5
Overweight,11799052,1362577,3368042
Learning,321031437,17610896,122884777
Coloring Agents,68572,14402,21473
HIV-2,151926,65949,61932
Antibiotic Prophylaxis,148943,49835,61615
Bronchi,1016452,256780,361974
Chlorides,342447,80180,121400
Disabled Persons,454865,37381,289070
Myocardial Infarction,2749654,1024046,1362480
Proto-Oncogene Proteins c-kit,29,23,72
Colonic Diseases,3339,1282,1273
Motor Activity,234331,90764,81823
"Anastomosis, Surgical",152,37,90
Peripheral Nerve Injuries,18421,5047,8188
Temporomandibular Joint Disc,2499,822,1256
Transforming Growth Factor beta1,6572,3632,2791
Longitudinal Ligaments,4267,1479,1762
Embolism,1450684,350818,617521
Michigan,51115963,4570620,37365711
"Polymorphism, Single Nucleotide",388,98,2547
Alcoholism,3896778,409142,2016313
"Immunity, Innate",1162,227,1646
Cardiology,3788704,312662,2457290
Videotape Recording,6876,2378,4449
Social Work,7331320,280812,4770730
Hodgkin Disease,4969,311,1530
Knee Injuries,339169,32513,159210
"Angioplasty, Balloon, Coronary",150,6,215
Cataract,4958085,714529,1883552
Blast Injuries,24670,4768,16919
Plasminogen Activator Inhibitor 1,11203,5842,4208
"Radiotherapy Planning, Computer-Assisted",14,3,57
Motivation,33773234,2702403,12858175
"Diagnostic Tests, Routine",148,9,201
Myometrium,139669,67877,48634
Testicular Hydrocele,1106,209,275
"Hospitals, Voluntary",668,41,599
"Radiotherapy, Image-Guided",246,58,135
"Food, Fortified",695,98,614
Dissociative Disorders,72355,8938,40925
"Thrombocytopenia, Neonatal Alloimmune",46,8,45
Telephone,45518547,4977802,19722520
Albuminuria,297251,115557,95278
Spinal Cord,6373012,1413852,2979171
Blood Flow Velocity,63183,36525,20962
Family Practice,777263,48119,401665
"Chemotherapy, Adjuvant",1232,573,649
Myocardial Revascularization,30938,14759,12742
Maternal Age,348353,144801,149045
"Antibodies, Antiphospholipid",501,263,176
Policy Making,838200,67922,655560
Testosterone,28645793,1177516,3339245
"Electrophysiologic Techniques, Cardiac",32,8,18
HIV-1,2810468,1392150,1188885
Health Services Research,333868,45025,333765
"Receptors, Adrenergic, beta",50,36,114
Blood Glucose Self-Monitoring,2948,1084,1314
Myoclonus,182704,53658,90256
"Physicians, Women",1385,134,749
Middle Aged,1368977,72139,505069
Risk Management,10819286,375589,5383090
Vesicular Transport Proteins,404,206,422
Enoxaparin,171330,58304,67516
Pupil,9059304,887815,4305798
Vaccination,22076433,2085993,12889074
Vascular Surgical Procedures,2912,824,1203
Feeding Behavior,154347,52467,70835
Air Ambulances,67749,3042,40227
Pain,300905092,25862957,93579366
Esophageal and Gastric Varices,2129,843,685
Immunoglobulin G,37764,11592,16280
Anthropometry,160825,48969,67315
"DNA, Plant",139,19,164
Hippocampus,2783628,1292646,1140006
"Administration, Cutaneous",64,14,74
Brain Concussion,7997,2106,6092
Bone Marrow Transplantation,245527,91803,154612
Professional-Patient Relations,316,71,454
Dyslipidemias,25229,8123,11310
Cattle,19777937,2653306,11166451
Maxillary Diseases,110,26,33
Brain,145230754,20486268,68931681
Biomarkers,5672468,1778320,2469591
Paresthesia,201997,49550,83906
Neonatal Screening,37240,11674,19379
Placenta,2893302,578679,1045037
"Hepatitis, Chronic",5235,1651,2144
Alcohol-Related Disorders,7581,2391,4379
Curriculum,39111029,1602729,18466820
Risk Factors,12959180,3247177,5756007
Cell Division,1311797,419363,554171
"Angioplasty, Balloon",636,86,410
Zeolites,327459,109201,128849
Vesico-Ureteral Reflux,2628,1620,985
Ghana,21884420,809894,10328291
Africa South of the Sahara,8006,707,7130
Confidentiality,9836335,720775,4870442
"Education, Special",60092,2450,38562
"Hospitals, Public",34318,2570,19409
Osteomyelitis,495049,148515,202375
Recommended Dietary Allowances,25642,4292,13140
Clinical Clerkship,13722,2827,6252
K562 Cells,2193,907,772
Sorbitol,598115,141591,165575
Bilirubin,1216721,414742,442437
"Neoplasms, Unknown Primary",34,5,152
Inflammatory Bowel Diseases,162424,37004,84453
Animal Assisted Therapy,30997,957,11840
Running,279574948,24695688,109677998
Imatinib Mesylate,62454,15991,45031
Bed Occupancy,60771,7146,35699
Cell Phone,22186327,1326975,6080784
DNA Mutational Analysis,174,10,723
